#      MET_(days)     MET_(hours)  Alt_J2_(km)  Alt_mer(km)  Perigee_(km)   Apogee_(km)  Latitude  Longitude  Eccentricity   TrueAnomly  Atm_Drag_(N)        Tn_(K)     F10.7_curr
      0.055902778       1.3416667     219.0542     218.8633      150.0000      600.0000 -35.43872 -154.41719   0.033352109  312.5504979    0.0000e+00        0.0000        116.000
      0.056250000       1.3500000     213.0089     213.2888      150.0000      600.0000 -34.08862 -152.66058   0.033352109  314.6035084    0.0000e+00        0.0000        116.000
      0.056597222       1.3583333     207.1560     207.9079      150.0000      600.0000 -32.70800 -150.96017   0.033352109  316.6599379    0.0000e+00        0.0000        116.000
      0.056944444       1.3666667     201.5053     202.7282      150.0000      600.0000 -31.29904 -149.31261   0.033352109  318.7196714    0.0000e+00        0.0000        116.000
      0.057291667       1.3750000     196.0661     197.7564      150.0000      600.0000 -29.86380 -147.71461   0.033352109  320.7825882    0.0000e+00        0.0000        116.000
      0.057638889       1.3833333     190.8479     192.9994      150.0000      600.0000 -28.40421 -146.16295   0.033352109  322.8485629    0.0000e+00        0.0000        116.000
      0.057986111       1.3916667     185.8594     188.4638      150.0000      600.0000 -26.92210 -144.65445   0.033352109  324.9174646    0.0000e+00        0.0000        116.000
      0.058333333       1.4000000     181.1094     184.1556      150.0000      600.0000 -25.41921 -143.18603   0.033352109  326.9891578    0.0000e+00        0.0000        116.000
      0.058680556       1.4083333     176.6063     180.0809      150.0000      600.0000 -23.89718 -141.75471   0.033352109  329.0635022    0.0000e+00        0.0000        116.000
      0.059027778       1.4166667     172.3579     176.2453      150.0000      600.0000 -22.35758 -140.35758   0.033352109  331.1403530    0.0000e+00        0.0000        116.000
      0.059375000       1.4250000     168.3720     172.6541      150.0000      600.0000 -20.80188 -138.99187   0.033352109  333.2195612    0.0000e+00        0.0000        116.000
      0.059722222       1.4333333     164.6556     169.3124      150.0000      600.0000 -19.23151 -137.65485   0.033352109  335.3009736    0.0000e+00        0.0000        116.000
      0.060069444       1.4416667     161.2155     166.2246      150.0000      600.0000 -17.64783 -136.34392   0.033352109  337.3844333    0.0000e+00        0.0000        116.000
      0.060416667       1.4500000     158.0580     163.3953      150.0000      600.0000 -16.05213 -135.05655   0.033352109  339.4697797    0.0000e+00        0.0000        116.000
